layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,rmse,n_points,porosity,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source,oc,texture_lab,bd
KSSL_15748185,KSSL_40705.0,sandy loam,0.5688880806806563,1.274568241288132,0.0160761785078207,0.50765212210629,61.8,24.5,13.7,,107.0,39.465389,-117.62072,0.0286575071400601,7,0.5358490566037736,0.0446491636063301,0.5063308970554259,0.3539304312776407,1.010000000000001,0.3473032264374861,0.0281867771262717,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.5,sl,1.23
KSSL_15812470,KSSL_50362.0,sandy clay loam,0.1154290474787389,1.7517058602575073,0.1435600009999999,0.5754201633036881,51.4,26.0,22.6,,7.5,37.232121,-102.35388,0.0171871686261944,7,0.369811320754717,0.1412246197783022,0.5653222001955355,0.1884760474226952,10.999999999999275,0.0537357372849199,0.0074523710443981,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.7,scl,1.67
KSSL_15830526,KSSL_53344.0,silty clay loam,0.1220518332814519,1.9376774659461724,0.3216000009999999,0.6948939427229532,14.0,48.5,37.5,,69.0,45.3055,-123.36178,0.023377119107951,7,0.4037735849056603,0.3216000009999999,0.6861458033976114,0.1917232325745774,10.999999998922986,0.0661802903226974,0.0182211131566322,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.4,sicl,1.58
KSSL_15812820,KSSL_50412.0,sandy loam,0.0825715448947133,1.5056333084468712,0.0596294877452916,0.4119202500449228,62.6,27.4,10.0,,89.0,37.134819,-100.39576,0.0072338882322798,7,0.369811320754717,0.009086971053053,0.4083014295198814,0.1613259799225108,3.454947684372494,0.0871323176389601,0.0059246581545622,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.1,vfsl,1.67
KSSL_15830571,KSSL_53350.0,loam,0.0722240467234446,1.837702730286263,0.2314696294070272,0.5811334497975478,49.0,41.0,10.0,,132.0,45.282471,-123.35139,0.0174422162777194,7,0.5018867924528303,0.2275449944341486,0.5792184318668837,0.0862229788358258,2.145380038034515,0.3456132900255496,0.0173722296196362,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.1,l,1.3199999999999998
KSSL_207994,KSSL_34325.0,sandy loam,31.62277534539919,1.2006981136921802,0.0522385454326236,0.5481583825381273,54.5,30.7,14.8,,16.5,39.117779,-105.15111,0.0083199907083967,7,0.5773584905660378,0.0520677914542849,0.5481634395412598,31.622776601600027,1.0100000039013752,0.1985083152138917,0.0083081283005049,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",2.9,sl,1.12
KSSL_204987,KSSL_33798.0,clay,0.1412874533320895,1.3913479902808548,0.2108799941893322,0.7243865968915382,6.2,37.7,56.1,,125.5,40.092361,-118.49342,0.0191560009981929,7,0.4792452830188678,0.1666937977124883,0.7157100968629724,0.2329725128197585,10.9999999999401,0.0257273446167564,0.0130413622051021,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",1.1,c,1.38
KSSL_15748306,KSSL_40731.0,sandy loam,0.1273063611457478,3.6228634723296103,0.0646800009999999,0.4072044533381298,77.0,10.9,12.1,,4.0,33.601307,-102.62891,0.0125293767752038,7,0.4264150943396226,0.0646800009999999,0.405353826116149,0.1916312459491002,10.999999999999323,0.1247342436333014,0.0097733762334496,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.6,fsl,1.52
KSSL_15830444,KSSL_53333.0,clay loam,0.768988132387013,1.2784325589864514,0.234654543164116,0.5304771257334595,22.3,47.1,30.6,,71.5,45.304317,-123.36994,0.0198746897232147,7,0.5584905660377358,0.2422387805913455,0.5302661086594243,0.5793176148749951,1.0100000000000002,0.3106374200514267,0.0198014538316564,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",1.6,cl,1.17
KSSL_15812462,KSSL_50361.0,silt loam,0.0723197970704348,1.8005455233028045,0.1580409651200681,0.6314440880707055,6.8,67.4,25.8,,147.0,37.634014,-102.26577,0.0085987119619555,7,0.5132075471698113,0.1350454861450857,0.6240737928004184,0.1136765102621081,3.03157248476074,0.1855941180382213,0.0052532196064651,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.3,sil,1.29
