layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,bd,lat,lon,source_db,rse_alpha,rse_n,oc,sample_type,sample_type_source,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m
601053,66916,sand,0.4773379992148185,1.876153063,0.023666616,0.47071077,87.0,12.4,0.6,,50.0,1.468064824,-77.0232239,162.5256653,WOSIS,0.1176850119389692,0.1126519887541613,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.022818047746945,0.9692737589281516,1.3354804596376897,6.480601734919511,0.1278515197378714,0.0046273078832781
601055,66917,loamy sand,0.2133812218239664,1.543707934,0.05903317,0.195715019,86.0,8.2,5.8,,1.0,1.927825261,-77.5465851,160.2901611,WOSIS,0.5893238395943129,0.1971575183966324,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0582535178008677,0.1586020796731705,0.1395272045975993,10.9999974130198,0.0459027826860523,0.0017374112837984
603425,68774,sandy loam,0.0172741491742847,1.984082219,0.260496087,0.46860944,72.39999999999999,23.399999999999995,4.199999999999999,,12.5,1.056338028,42.1313896,23.4799995,WOSIS,0.0835101346631835,0.1125206896965587,12.24,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.260496087,0.46860944,0.0172741491742847,1.984082219,0.4959886286849486,
604775,69404,loam,0.4533390205625774,1.553443168,0.087755005,0.621830483,43.8,37.5,18.7,,5.0,1.07925801,37.4101,-101.034125,WOSIS,0.2304164048786199,0.1666814016936242,0.71,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.087755005,0.621830483,0.4533390205625774,1.553443168,0.3562686935708999,
604776,69404,loam,0.7272949586250147,1.361289253,0.079977461,0.62309308,31.4,45.2,23.4,,16.0,1.088545898,37.4101,-101.034125,WOSIS,0.0667000591714027,0.0519524061237437,0.62,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.079977461,0.62309308,0.7272949586250147,1.361289253,0.265402266420449,
604777,69404,silty clay loam,3.3584442444667655,1.25248556,0.09000257,0.65373002,13.900000000000002,55.2,30.9,,30.0,1.020080321,37.4101,-101.034125,WOSIS,,,0.49,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.09000257,0.65373002,3.3584442444667655,1.25248556,0.2015876015368991,
604778,69404,silty clay loam,2.2884939077054858,1.287596658,0.092184499,0.66358205,12.5,56.89999999999999,30.6,,53.5,0.991207034,37.4101,-101.034125,WOSIS,,,0.35,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.092184499,0.66358205,2.2884939077054858,1.287596658,0.2233592765351834,
604779,69404,silty clay loam,0.5729269398826307,1.509228928,0.130005457,0.653100398,15.1,55.7,29.2,,92.0,1.017915309,37.4101,-101.034125,WOSIS,0.6932345969099308,0.4220270337823385,0.2,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.130005457,0.653100398,0.5729269398826307,1.509228928,0.3374099969544183,
604780,69404,silty clay loam,0.3886481282599053,1.677498832,0.144929707,0.636595016,17.9,54.2,27.9,,131.0,1.062240664,37.4101,-101.034125,WOSIS,0.6651843495074203,0.4787592504661322,0.22,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.144929707,0.636595016,0.3886481282599053,1.677498832,0.4038743986439925,
611739,136773,loam,0.367019268659532,1.192952082,0.0,0.377019362,46.3,31.5,22.2,,52.5,1.367884452,46.3060837,-105.9767532,WOSIS,0.1491458161696541,0.0572273638384477,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0346442948303568,0.3240907760345855,0.090860978826065,1.2620232904596096,0.2208009515257652,0.0037795889218142
611741,136773,sandy loam,0.2886431785574074,1.434332116,0.063270118,0.387943,58.2,28.6,13.199999999999998,,119.0,1.488413547,46.3060837,-105.9767532,WOSIS,0.5641061061157129,0.1403689590387094,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0600384433026194,0.2937449742461912,0.1506468290241764,10.999999209123574,0.0365863988827568,0.0025555945424841
614502,137282,sandy clay loam,0.0218612093834285,2.175051681,0.128757542,0.38131376,58.3,20.0,21.7,,56.5,1.385108086,32.5487518,-106.7636414,WOSIS,0.2147767605761682,0.3407959883595963,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.1167525099257034,0.3755036062887881,0.0367736402490688,10.999999999998789,0.0667022661037946,0.0111202393831825
614504,137282,sandy loam,0.0217370772893903,3.457543567,0.160119003,0.479164153,61.4,22.2,16.4,,100.0,1.471727343,32.5487518,-106.7636414,WOSIS,0.108240504437279,0.2717025683557291,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.1471727349999999,0.4777194121492517,0.0339413930454905,10.999999999999364,0.1246319813794247,0.0147397611385394
614513,137283,loamy sand,0.8835251698592282,1.556866368,0.043571816,0.520453015,80.9,9.3,9.8,,1.0,1.341911765,32.5487518,-106.7636414,WOSIS,,,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.043571816,0.520453015,0.8835251698592282,1.556866368,0.3576841143503975,
614514,137283,loamy sand,0.0672744055309407,2.015980308,0.049578038,0.318366557,82.89999999999999,8.199999999999998,8.9,,5.0,1.500449236,32.5487518,-106.7636414,WOSIS,0.0821068517154413,0.1084416953089212,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0555674941551612,0.3179328224677613,0.0386956887117262,1.6050023615930908,0.98,0.0045020258825851
614524,137284,sandy loam,0.48187686467856,1.743483321,0.06045815,0.527622687,78.0,10.5,11.5,,2.5,1.329055912,32.5483627,-106.7652206,WOSIS,0.0954298874725108,0.0367970568098325,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.06045815,0.527622687,0.48187686467856,1.743483321,0.4264355798790001,
614553,137286,loamy sand,0.4428839689394441,1.587786148,0.039739701,0.402559076,82.8,8.4,8.8,,7.5,1.44235186,32.5963593,-106.7631912,WOSIS,2.2252790829565035,0.2850010851225436,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0438077853374212,0.4103047036018609,0.2693338420970311,1.010000000000005,0.7091843028604926,0.0070887658180186
