layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,source_db,oc,porosity,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m
HB_FSUJ_039,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt loam,0.02670016919220686,1.3833072719911832,1.481277735688311e-21,0.578837093208748,7.3,70.1,22.6,7.409497541666667,27.5,46.2115,-75.0475,Hohenbrink,1.76,0.64,0.014979871241614397,13,1.5219280299008664e-18,0.585789238447983,0.014883383826357385,1.0100000000000002,0.4748729214559977,0.00963588165065465
HB_FSUJ_040,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt loam,0.2569801795669852,1.2153249333121827,1.2115531314571128e-20,0.5654521322681131,22.2777222777223,65.2347652347652,12.487512487512499,173.69557645833333,27.5,46.2115,-75.0475,Hohenbrink,3.84,0.67,0.01482563423594082,16,6.681696194893956e-20,0.5690523078149967,0.2071166161683411,1.0100000000000007,0.2266936297224001,0.013976661091392345
HB_FSUJ_041,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt loam,0.09120377860421322,1.2477367632032232,6.737782580072283e-24,0.6067215607040705,26.5,51.0,22.5,616.29516175,27.5,46.2115,-75.0475,Hohenbrink,4.59,0.67,0.013914187769985344,21,1.2610835582077456e-20,0.6087531345541781,0.06293382373205457,1.01,0.27592328863882293,0.010804962504984689
HB_FSUJ_043,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt loam,0.07443001791447229,1.3778620600766525,4.492158280113619e-15,0.5346441133344424,8.6,76.9,14.5,112.1472835,27.5,46.2115,-75.0475,Hohenbrink,3.93,0.68,0.012586273266817605,17,0.017857806488499287,0.5391163842816743,0.03618029565753784,1.01,0.5285980248879536,0.00805153011204561
HB_FSUJ_044,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt loam,0.11053735950004466,1.2928440039092677,5.719682697828556e-12,0.6057071580049276,13.5,66.8,19.7,8.908175375,27.5,46.2115,-75.0475,Hohenbrink,4.77,0.67,0.007145688724412027,18,2.5408987710226873e-16,0.608030040126773,0.09460558410702985,1.1351399819447627,0.2713382459754928,0.006835898290746137
HB_FSUJ_045,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt loam,0.141520536364726,1.270706505322532,2.6842293666150737e-30,0.6214496373255674,8.1,78.8,13.1,89.08175375,27.5,46.2115,-75.0475,Hohenbrink,5.07,0.69,0.01723886958847325,15,1.3318650611153809e-16,0.6279868052139811,0.10283285729111673,1.0100000000000058,0.29858145884014614,0.014225696207163997
HB_FSUJ_046,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt loam,0.0966354958576276,1.2932129777507197,1.8782359267515286e-17,0.6395506857232014,12.6,77.2,10.2,15.480634541666667,27.5,46.2115,-75.0475,Hohenbrink,1.75,0.71,0.009938873932565689,16,7.245778735517737e-20,0.6449020047348972,0.06728814444972683,1.0100000000013518,0.3273861687908762,0.007424486815838589
HB_FSUJ_047,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt loam,0.12110312486778864,1.2817900976917969,4.0609395176126306e-27,0.658839813182631,16.5,74.8,8.7,25.691458416666666,27.5,46.2115,-75.0475,Hohenbrink,1.79,0.67,0.010083850831397564,14,8.050809294897639e-22,0.666383225949656,0.08868588186448118,1.01,0.3101790578657705,0.007312481181557595
HB_FSUJ_048,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt loam,0.12966828746945178,1.239093709538068,1.8932661725304283e-28,0.603461974330279,8.0,77.9,14.1,41.666666666666664,27.5,46.2115,-75.0475,Hohenbrink,1.64,0.65,0.004891957619975602,16,2.26886455693878e-19,0.6082871744400921,0.10191887554879223,1.0100000018002602,0.2548983644290627,0.0035769897306544202
HB_FSUJ_049,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt loam,0.03276377914887151,1.3944534389125807,0.023602379639387158,0.5481987003524077,19.3806193806194,60.7392607392607,19.8801198801199,,27.5,46.2115,-75.0475,Hohenbrink,1.14,0.61,0.01818782964243405,15,0.04693759526343515,0.5523287125135976,0.012039242871377101,1.01,0.6754401332545708,0.013813173747319964
HB_KIT_001,HB_Karlsruher_Institut_fuer_Technologie_50.7492_13.6744,silt loam,2.1668140679699093,1.161497480490009,1.1854311707653905e-18,0.5872905934730268,22.8,53.6,23.6,,,50.74916,13.674412,Hohenbrink,4.55,0.64,0.018586837986931445,18,5.139841493190171e-94,0.5788508124673204,3.068607421431335,4.146165523270268,0.03548248925056523,0.018155665987760663
HB_KIT_002,HB_Karlsruher_Institut_fuer_Technologie_49.7076_5.8952,sandy loam,0.34716977167662505,1.6447695127497948,0.008000000999999998,0.5764782007625621,74.5,10.9,14.6,48.95406479166667,42.5,49.707583,5.895247,Hohenbrink,0.92,0.57,0.02807985185721557,14,0.008000000999999998,0.5511993692871505,0.48598732679187445,10.999999999392278,0.04906684189990826,0.018733516497710653
HB_KIT_003,HB_Karlsruher_Institut_fuer_Technologie_49.7503_5.8680,silt loam,0.039644044525607186,1.289166394704321,8.963154387332239e-18,0.4381869370921667,15.7,60.4,23.9,21.8669775,12.5,49.75031,5.868029,Hohenbrink,1.16,0.45,0.011216274724434025,17,2.481648592526529e-14,0.4408691729823182,0.028133289335255256,1.01,0.3121905359436328,0.008988787595203976
HB_KIT_004,HB_Karlsruher_Institut_fuer_Technologie_nan_nan,loamy sand,0.21201369529369396,3.7879671168657527,0.13235000099999983,0.40911094855428365,81.9,7.1,11.0,,,,,Hohenbrink,1.48,0.41,0.007090806266139275,10,0.12683502816409725,0.406517971174945,0.3082532438411691,10.99999973969723,0.1425322724477105,0.0014177728239203014
HB_KIT_005,HB_Karlsruher_Institut_fuer_Technologie_49.8096_5.8029,silty clay loam,0.10484564345428306,1.259644992716928,5.78215597701995e-26,0.44113570081675724,19.9,44.3,35.8,165.87798775000002,4.5,49.809598,5.802939,Hohenbrink,2.9,0.56,0.02110737655064268,16,7.9036205306143005e-22,0.44488943335582515,0.08032033697036835,1.01,0.2750380845402669,0.0189320360433185
HB_KIT_006,HB_Karlsruher_Institut_fuer_Technologie_49.7503_5.8680,silt loam,0.06513137195758142,1.2411701503714383,1.0469004627624257e-24,0.5654926192597517,15.1,58.1,26.8,16.587798791666668,4.5,49.75031,5.868029,Hohenbrink,2.97,0.58,0.009637849788043204,14,3.206598562149665e-20,0.5686529873297287,0.049118169059806975,1.01,0.2542256117729965,0.008000246211281812
HB_KIT_007,HB_Karlsruher_Institut_fuer_Technologie_49.8256_5.8028,silty clay loam,0.20388970295183778,1.8213370936440532,0.017500000999999998,0.42804494634573514,13.313313313313312,47.047047047047045,39.63963963963964,81.24352499999999,12.5,49.825617,5.802813,Hohenbrink,3.83,0.45,0.020592213531548997,18,0.017500000999999998,0.42171888707240623,0.3163791412644192,10.120825403796998,0.06367877889846166,0.015423890477394661
HB_KIT_008,HB_Karlsruher_Institut_fuer_Technologie_49.7164_5.9047,clay,0.027326817051409765,1.3835014210651146,3.9924389252754726e-23,0.5358544215760201,40.0,18.9,41.1,11.743262208333334,12.5,49.716359,5.90473,Hohenbrink,4.25,0.54,0.006199127968255134,9,1.1789291384762755e-18,0.5436031685052958,0.01714626202837713,1.0100000000000944,0.41610154305691516,0.003458410784497941
HB_KIT_009,HB_Karlsruher_Institut_fuer_Technologie_49.8260_5.8034,silty clay,0.4748291703726356,1.2358697823204619,2.9605619555059673e-19,0.6648428953816103,4.5,55.5,40.0,177.74146616666667,12.5,49.825977,5.803403,Hohenbrink,4.27,0.66,0.011469643460592193,14,1.1136188350487425e-20,0.6683303124543276,0.4503282736421168,1.1349801576837975,0.2115588416332484,0.011419150080047505
HB_KIT_010,HB_Karlsruher_Institut_fuer_Technologie_49.1353_8.7441,silty clay loam,0.25316081472536567,1.2285934575372583,2.5186618683020126e-21,0.47940665027801543,8.4,63.3,28.3,,,49.135256,8.744089,Hohenbrink,2.78,0.49,0.013475217295452757,13,1.3148168101417852e-16,0.4839174694149553,0.20812190173379103,1.0100000000000524,0.23571637609793464,0.012011713539807903
HB_KIT_011,HB_Karlsruher_Institut_fuer_Technologie_49.7084_5.8953,sandy loam,0.14445475885270365,1.6478727206155481,0.01770000099999988,0.4713416939374178,77.5,11.7,10.8,181.88159675,4.5,49.70835,5.895283,Hohenbrink,1.6,0.49,0.015965152889896327,13,0.014843736813437413,0.4563140349340678,0.2305273931994449,10.99999999999617,0.04549612108974913,0.006999183077061145
HB_KIT_012,HB_Karlsruher_Institut_fuer_Technologie_49.7130_5.8969,sandy loam,0.4407075446308018,1.2661311225746723,2.2706089698468807e-19,0.4320195491145418,62.7,19.5,17.8,18.188159666666667,13.5,49.713042,5.89689,Hohenbrink,0.75,0.46,0.008354532105232508,14,2.1365192086558324e-33,0.4268724668822176,0.4799165516252324,1.5520706098484782,0.16640216199593136,0.008247631092574773
