layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,source_db,oc,om,porosity,bd,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source
BB_76-2,BB_76,silty clay,2.2763379537060624,1.0901790806080447,5.627172018922812e-21,0.45933075386865707,13.0,42.0,45.0,5.391925751513669,22.5,36.848,48.2397,Babaeian_Zanjan,0.059,0.10171599999999999,,1.4219503142963377,0.012555752698724647,9,4.3537576166542614e-21,0.4590167151832683,2.0173020293035115,1.0100000000000722,0.09086911734866364,0.012434663914473119,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_77-1,BB_77,sandy clay loam,0.6231796065447982,1.2570977334817615,0.032913756223862035,0.48607095902248965,52.0,25.0,23.0,4.543773926253199,7.5,36.8529,48.2437,Babaeian_Zanjan,0.39,0.6723600000000001,,1.3588739635816907,0.010182971138272727,11,0.07744623549760331,0.4872031793178428,0.32219342895574454,1.01,0.38052875699089533,0.008018499596280822,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_77-2,BB_77,sandy clay loam,1.0787696160887472,1.1814155144008227,3.814747678011088e-21,0.44404408628819514,56.99999999999999,23.0,20.0,3.243538148487582,22.5,36.8529,48.2437,Babaeian_Zanjan,0.468,0.806832,,1.491669322262196,0.014435198963274677,10,1.0628543078238047e-25,0.44481634225427064,0.8745537128670758,1.01,0.18728060323459825,0.013735145451078878,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_78-2,BB_78,clay loam,2.2765510017055637,1.1320555710527778,5.045018160966498e-25,0.3565434989647063,42.0,26.0,32.0,4.425602307896266,22.5,36.8472,48.2529,Babaeian_Zanjan,0.663,1.1430120000000001,,1.2952054923213538,0.009705422126643506,9,3.8031950823887525e-40,0.3557566816221159,1.8491191248470544,1.01,0.13486341080592099,0.009329148680692572,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_79-1,BB_79,sandy loam,0.8036676481378531,1.346154670540913,0.07926756978275484,0.5509616371317507,57.99999999999999,27.0,15.0,7.327285130672551,7.5,36.8443,48.2659,Babaeian_Zanjan,0.527,0.908548,,1.43279811176504,0.00930504553365215,11,0.103569182625295,0.5555345999800303,0.4299586753084188,1.01,0.4738701264511633,0.007648386661704819,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_79-2,BB_79,sandy loam,1.6512964439407518,1.166306703433854,3.843257581123612e-16,0.45893059212993553,53.0,28.000000000000004,19.0,7.517957977939125,22.5,36.8443,48.2659,Babaeian_Zanjan,0.585,1.00854,,1.4340382002850856,0.01400320288513748,11,6.089140239913332e-22,0.46032203949677714,1.4669007481311587,1.0100000000005906,0.16872264881707266,0.01383910497323845,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_80-1,BB_80,clay loam,1.3643977262015332,1.3737868626844303,0.11892362891265201,0.5523760412201146,43.0,27.0,30.0,9.61604116351244,7.5,36.8316,48.2443,Babaeian_Zanjan,0.351,0.605124,,1.3440304362621864,0.01749371363498479,10,0.1038613783945759,0.5444582278280237,1.9565935118466322,2.6289266095178707,0.11729437445457233,0.016061454522373828,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_80-2,BB_80,clay loam,2.165584214325465,1.1737816393362217,2.7803608339438643e-21,0.5512134359791295,39.0,30.0,31.0,3.182856754362342,22.5,36.8316,48.2443,Babaeian_Zanjan,0.351,0.605124,,1.3736227353617008,0.0074482157139481794,11,2.833680443864635e-19,0.5524031424632906,1.8927662292388565,1.01,0.1766670586482317,0.006494870664668823,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_81-1,BB_81,loam,1.272519963583358,1.3183689405168348,0.08669821295882667,0.5293725533065807,44.0,33.0,23.0,6.559921717465439,7.5,36.8223,48.2344,Babaeian_Zanjan,0.546,0.941304,,1.4025956899389853,0.008290875192130225,10,0.06668668910028631,0.5250306821632741,1.858046744541404,2.1363109054642044,0.12224025701691485,0.007259684345286552,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_81-2,BB_81,silt loam,5.154325985174253,1.1172545548663873,1.3919616547177222e-17,0.3850835126583217,25.0,52.0,23.0,5.4153002252989575,22.5,36.8223,48.2344,Babaeian_Zanjan,0.527,0.908548,,1.3980034405607646,0.01042992371962118,9,7.679547887493448e-22,0.38476986553736814,4.640219253333457,1.01,0.11773186014339962,0.010275552166639062,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_82-1,BB_82,clay loam,0.8297180544323655,1.3783471346798457,0.17679926233161,0.4837214116904242,28.999999999999996,33.0,38.0,0.9446215600538853,7.5,36.8147,48.2117,Babaeian_Zanjan,0.897,1.546428,,1.1997895158716607,0.00459650510412161,11,0.17362100793040505,0.48281204407523104,0.9204624833577805,1.5005334500460865,0.23808485256125214,0.004552008931947864,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_82-2,BB_82,clay loam,3.0656007861548633,1.105967004164238,7.386851594058457e-15,0.4746335589512749,34.0,32.0,34.0,5.258632898511697,22.5,36.8147,48.2117,Babaeian_Zanjan,0.936,1.613664,,1.2445464440766614,0.007917369533283664,9,7.896282111182952e-26,0.47448085754761826,2.749503640368158,1.01,0.10659117871328795,0.007711989382199829,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_83-1,BB_83,clay loam,3.3122242431087447,1.10906660315275,0.008516724186268563,0.4545094266810746,28.000000000000004,37.0,35.0,7.834858223887857,7.5,36.8201,48.2517,Babaeian_Zanjan,0.195,0.33618000000000003,,1.3001923632307057,0.003507128412234813,9,1.2592199804656576e-12,0.45442878677480025,3.6665880604711636,1.2312461204701035,0.08482209185408945,0.003498277402036698,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_83-2,BB_83,clay loam,0.9117632296062583,1.3929966858474576,0.15199838974276267,0.49250081217560704,28.000000000000004,36.0,36.0,0.004949818416135547,22.5,36.8201,48.2517,Babaeian_Zanjan,0.215,0.37066,,1.3304610967873052,0.006627305152392694,10,0.15331003646424912,0.492970097696034,0.8644631729973932,1.3388551472552421,0.30125912476245675,0.006619263911083415,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_84-1,BB_84,clay loam,0.8555495474522196,1.294171300036601,0.11151705441781043,0.4808692042580673,33.0,36.0,31.0,6.697585049954511,7.5,36.8042,48.256,Babaeian_Zanjan,0.176,0.30342399999999997,,1.2688548054320687,0.0052228663350918775,11,0.13332695735388855,0.4829562647751881,0.4893167660566218,1.01,0.39087316474936223,0.0038749258814301238,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
