layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,source_db,oc,om,porosity,bd,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source
BA_AZ10,BA_AZ10,loam,0.05543754760058812,2.2292717868997234,0.1630255340713699,0.42543051468481163,37.37391045387824,45.901457718369755,16.724631827752013,0.5255223066489165,,,,Babaeian_Arizona,2.005977152035455,3.4583046101091246,,1.4,0.0011419706231693507,9,0.14069831909193897,0.42488810744048633,0.06986742817215738,2.550260107387032,0.34237411204644225,0.0009441309666495362,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ11,BA_AZ11,loam,0.044286867165028755,2.936241893145354,0.20586398562245378,0.4015115040610858,38.52534933843986,40.13083475199247,21.343815909567674,0.6874833382817492,,,,Babaeian_Arizona,1.008674204447664,1.7389543284677729,,1.51,0.002006786660656606,9,0.20777693730230637,0.4015826384397143,0.04155351863920868,2.8304705496958213,0.7501126961726724,0.0020054664121310715,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ12,BA_AZ12,sandy loam,0.14579099668506557,1.6945185916375491,0.10158353854020954,0.39086409609397776,66.05473000893747,14.455790947241642,19.48947904382089,3.0608162385685547,,,,Babaeian_Arizona,0.2999655028634821,0.5171405269366431,,1.56,0.008494560388736978,10,0.08805384484452183,0.38380343576529463,0.2292933115983786,3.8843394297745433,0.12752483981903195,0.007096292438170741,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ13,BA_AZ13,sandy clay loam,0.31146435266559164,1.2660195962197796,0.05659276511123117,0.42360343186069155,58.079711788211846,15.434269919065365,26.48601829272279,1.9806942354192039,,,,Babaeian_Arizona,1.59565430877677,2.7509080283311516,,1.49,0.0072177273911907735,12,0.0015588556504070729,0.4153421316841979,0.4815724335565096,2.8353090988803453,0.06404207986387611,0.00565600716786353,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ14,BA_AZ14,sandy clay loam,0.1659210790543869,1.4286663692275847,0.10180804313481652,0.431557117800051,51.429252734497766,21.5952864296103,26.97546083589193,2.4556215231854477,,,,Babaeian_Arizona,0.855755174400064,1.4753219206657102,,1.47,0.007921639882024866,11,0.062375437290087446,0.4223309142642828,0.28705882265028293,5.175786435337591,0.05328451886247205,0.004180975940771732,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ15,BA_AZ15,silt loam,0.03179071895253519,2.365583843613207,0.2769328233836778,0.4394518598704939,3.6149921193793815,73.3675758342413,23.017432046379323,0.08263287096942547,,,,Babaeian_Arizona,1.9934642977255552,3.4367324492788573,,1.4,0.0019747187042882808,9,0.2925658564744875,0.43955529083872397,0.024801427057755565,2.221540086949891,0.9799999999999811,0.0019087351309738292,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ16,BA_AZ16,clay loam,0.0638294585086228,2.1283206861397597,0.24890349071703846,0.4398926869327957,25.617546247208846,45.17071974669828,29.21173400609287,0.2083569730813454,,,,Babaeian_Arizona,1.9618423005354328,3.3822161261230863,,1.4,0.004030093656953748,9,0.13683876763067118,0.43728768722237393,0.12693123548294488,10.999999999952694,0.029928607205344095,0.002292736362900552,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ17,BA_AZ17,silty clay,0.013607115665638367,4.2472292637105,1.5822345023423517e-15,0.42417449605942137,9.276037206878602,40.21220806353269,50.51175472958871,0.010044092727867193,,,,Babaeian_Arizona,0.7573292893115093,1.305635694773042,,1.39,0.004371381162163935,9,8.696070021030084e-14,0.42419726106908845,0.012513989427226868,4.060981715018484,0.9799999993100882,0.004350908993450567,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ18,BA_AZ18,clay,0.15741782877926735,2.0342630380434947,0.32056538513861293,0.4550938743987802,29.16042877267919,18.67237258366404,52.167198643656775,1.1580331397983554,,,,Babaeian_Arizona,2.308113689277271,3.9791880003140148,,1.4,0.0030925035451491627,9,0.2697621369194985,0.4526084433914412,0.33447410227145646,10.999985846277237,0.0317067082191738,0.0011344414750555322,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ19,BA_AZ19,sandy clay loam,0.1468430702560814,1.5237661512486924,0.19875175788673796,0.4142373551272657,48.93499683455858,20.797368783579916,30.26763438186149,4.716645953996618,,,,Babaeian_Arizona,1.3239231891802157,2.2824435781466916,,1.49,0.0016628442547951296,9,0.11359659706656289,0.413227174566142,0.2355527317296859,1.8959333628920998,0.13277849105448006,0.001492970418581359,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ20,BA_AZ20,sandy loam,0.49383579303223624,1.3477135853750948,0.026110376276779687,0.3881300022467376,70.77380530082493,19.883965067023606,9.342229632151453,0.6631455522400681,,,,Babaeian_Arizona,1.0075686210550148,1.7370483026988452,,1.58,0.005642482862596801,12,0.028482551401076212,0.3884296319758539,0.4679270488430022,1.3034448487565058,0.27532414710441727,0.005636606360451637,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
