layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,source_db,oc,om,porosity,bd,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source,island,locality,sand_resin,silt_resin,clay_resin,texture_class_resin
AR_C1S-2_nov99,AR_C1,sandy loam,0.3270642271777085,1.3348290351810461,0.2144552766953307,0.5789267364001022,65.9,20.9,13.199999999999998,11.57,7.5,28.52,-16.38,Armas_Canarias,1.0440835266821347,1.8,,0.78,0.002964569801008743,13,0.20345618327267218,0.5756319335419501,0.38933960844045745,1.5983553867314697,0.18647899725817424,0.0027337596684266193,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-20_nov99,AR_C1,sandy loam,0.5475722071005373,1.454869345936293,0.24479773297345933,0.6547487094123767,67.8,19.8,12.4,18.98,7.5,28.52,-16.38,Armas_Canarias,1.6821345707656612,2.9,,0.69,0.008914854225229784,14,0.24322401986745817,0.65419773119908,0.5706484894987369,1.5079099023234923,0.2946359733290848,0.008904955716015397,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-21_nov99,AR_C1,sandy loam,0.25616447712781204,1.6169306134573995,0.28128919086343984,0.6714554199636346,67.7,22.5,9.8,11.67,7.5,28.52,-16.38,Armas_Canarias,0.9280742459396752,1.6,,0.76,0.007951930245557945,14,0.2883560444304689,0.6765990347012014,0.16238339346431646,1.231602819055196,0.6363141532018265,0.006981088565990611,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-22_nov99,AR_C1,sandy loam,0.5020360864990637,1.4432292499602175,0.25640515860670093,0.6502021481688012,63.6,23.5,12.9,26.580000000000002,7.5,28.52,-16.38,Armas_Canarias,1.1020881670533642,1.9,,0.73,0.005156259098877346,12,0.2513121434642751,0.6487215760904387,0.5718732039593689,1.6178930192967427,0.2537561351906719,0.005012187725042717,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",39.2,21.8,39.0,clay loam
AR_C1S-23_nov99,AR_C1,sandy loam,0.3155132637075556,1.6008823038766775,0.2620053469345015,0.6190551264085697,70.3,19.2,10.5,5.3,7.5,28.52,-16.38,Armas_Canarias,1.2180974477958237,2.1,,0.72,0.006649773262771172,14,0.2644271385451639,0.6203175607001329,0.2840217131674073,1.4791358237888241,0.43186413090351006,0.006588589385773479,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-24_nov99,AR_C1,sandy loam,0.18406448199522882,1.5079692397590445,0.28929837810835135,0.6283370612514371,65.0,23.1,11.9,1.9300000000000002,7.5,28.52,-16.38,Armas_Canarias,1.160092807424594,2.0,,0.88,0.009426098051181352,14,0.2798144275506965,0.6258307447412974,0.23765527189028246,1.914400239019245,0.22608535966989757,0.009246116286952145,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-25_nov99,AR_C1,sandy loam,1.090813003588654,1.267791703988677,0.18872508948738387,0.6040079987539968,64.13586413586414,21.87812187812188,13.986013986013987,3.5,7.5,28.52,-16.38,Armas_Canarias,1.4501160092807426,2.5,,1.04,0.009581560453961925,14,0.20338695113231364,0.6057982152415742,0.827678835596294,1.0647350391897539,0.2905409060194005,0.009474313608708703,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-26_nov99,AR_C1,sandy loam,0.5422321340482351,1.3690969270626852,0.19406644563071415,0.6005361892943327,69.86986986986987,20.42042042042042,9.70970970970971,598.11,7.5,28.52,-16.38,Armas_Canarias,1.3921113689095128,2.4,,0.97,0.005748465793367574,13,0.17920750171349278,0.5970587202396398,0.7080806538056269,1.8407978351297687,0.17067730835853093,0.005125037961520742,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-27_nov99,AR_C1,sandy loam,0.23914858931605842,1.5539412180893089,0.29897585355584694,0.6500410545734228,68.26826826826826,21.72172172172172,10.01001001001001,620.3199999999999,7.5,28.52,-16.38,Armas_Canarias,0.9280742459396752,1.6,,0.93,0.009152019561898239,14,0.3082761800655481,0.6557154868981081,0.14053097391159042,1.14867138265402,0.638769621975726,0.008343840280567005,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-28_nov99,AR_C1,sandy loam,0.2538912418738899,1.483022863841076,0.30125978807946036,0.6378937578537828,66.03396603396602,23.076923076923077,10.88911088911089,12.86,7.5,28.52,-16.38,Armas_Canarias,1.5081206496519721,2.6,,0.79,0.00520051372715741,13,0.28241514139974927,0.632448609425339,0.38769418088239765,2.6055756643816004,0.13999376963306218,0.003174383555650463,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
