layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,source_db,oc,om,porosity,bd,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source,soil,county,horizon,saturation_point,pdf_page
NJ26_S60NJ-8-1_44-60,NJ26_S60NJ-8-1,loamy sand,0.009873369534385336,4.664647521749092,0.03892000099999999,0.3993294025912741,86.8,7.0,6.2,3.5559999999999996,132.08,,,SSIR26_NewJersey,0.12,0.20687999999999998,0.5760000000000001,1.39,0.0289364133507641,8,0.02557459312705665,0.418502794720232,0.01082081178037626,1.786494961570329,0.9799999999999999,0.02795169774163135,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Gloucester,C2,False,17
NJ26_S59NJ-13-1_0-9,NJ26_S59NJ-13-1,sandy loam,0.11367131567326803,1.2835688485646513,7.972402714797961e-60,0.32474441514911334,65.0,27.3,7.7,0.254,11.43,,,SSIR26_NewJersey,0.39,0.6723600000000001,0.34,1.63,0.020268316346794345,9,1.306772999358252e-30,0.32548224683626026,0.068117246509911,1.01,0.3291644767596238,0.018848196807606837,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Monmouth,Ap,True,19
NJ26_S59NJ-13-1_9-12,NJ26_S59NJ-13-1,sandy loam,0.04079033955756863,1.2494850126550867,2.845626108016323e-29,0.33254010461243905,53.5,30.3,16.2,0.254,26.67,,,SSIR26_NewJersey,0.24,0.41375999999999996,0.359,1.7,0.018371617952150216,9,1.2993598839716822e-28,0.3361769750250862,0.03194979895433373,1.01,0.26958486045662755,0.017313004355120096,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Monmouth,B1t,True,19
NJ26_S59NJ-13-1_12-18,NJ26_S59NJ-13-1,sandy clay loam,0.21964524520719936,1.160359617112839,2.1382117680737565e-50,0.3645594330451729,58.8,20.8,20.4,1.7779999999999998,38.1,,,SSIR26_NewJersey,0.15,0.2586,0.376,1.62,0.016464837636405612,9,7.34096752649834e-55,0.3637118307520912,0.16259304858033446,1.01,0.17062095448492712,0.015777545245640907,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Monmouth,B21t,True,19
NJ26_S59NJ-13-1_18-25,NJ26_S59NJ-13-1,sandy loam,0.15349879105028946,1.1657795461291163,2.4892061111444567e-60,0.3400898869695108,58.7,21.4,19.9,1.016,54.61,,,SSIR26_NewJersey,0.12,0.20687999999999998,0.355,1.64,0.016500023329649928,9,1.8231490071858814e-63,0.339543459017959,0.11047577179736234,1.01,0.17869399750401085,0.015788598648987493,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Monmouth,B22t,True,19
NJ26_S59NJ-13-1_25-29,NJ26_S59NJ-13-1,sandy loam,0.7281594509831932,1.1936187734861443,1.7577588016751838e-23,0.3558730317717466,77.6,8.2,14.2,4.064,68.58,,,SSIR26_NewJersey,0.06,0.10343999999999999,0.354,1.6,0.018214517422005017,9,3.3096034321163704e-85,0.35400989761329066,0.9636349578118897,9.085705548862364,0.020000002023812847,0.017866093868167243,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Monmouth,B31t,True,19
NJ26_S59NJ-13-1_29-35,NJ26_S59NJ-13-1,sandy loam,0.13140587103367732,1.3220624408084625,0.005420070150520167,0.353542466612863,80.89999999999999,7.399999999999999,11.699999999999998,3.048,81.28,,,SSIR26_NewJersey,0.06,0.10343999999999999,0.36,1.57,0.01665648487151738,9,0.03853252312505388,0.35580023355862445,0.06496754948318813,1.01,0.4920464697928772,0.016305758728874905,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Monmouth,B32,True,19
NJ26_S59NJ-13-1_35-81,NJ26_S59NJ-13-1,loamy sand,0.671441923075393,1.3700819475651003,0.025281416484810578,0.37479902741211596,82.69999999999999,8.899999999999999,8.399999999999999,11.43,147.32,,,SSIR26_NewJersey,0.04,0.06896000000000001,0.36700000000000005,1.53,0.024870300951498215,9,0.026651503624818117,0.36710649960466263,0.7795858101021605,10.999999886727377,0.03262295988592277,0.021939390780123514,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Monmouth,C,True,19
NJ26_S58NJ-3-3_0-10,NJ26_S58NJ-3-3,sand,0.3006014983059224,1.508093764201225,0.02624266948351377,0.340039527900108,89.7,6.0,4.3,2.54,12.7,,,SSIR26_NewJersey,0.38,0.65512,0.317,1.57,0.026871638760136735,9,0.006828486564798336,0.3307187456401132,0.482187256441242,10.999971982443938,0.03336886589545725,0.0201091797685542,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Burlington,Ap,True,21
NJ26_S58NJ-3-3_10-23,NJ26_S58NJ-3-3,sand,0.3809018305314803,1.7991944959361428,0.024450000999999996,0.3825004631075803,91.7,4.2,4.1,1.524,41.91,,,SSIR26_NewJersey,0.07,0.12068000000000001,0.37,1.63,0.02142692210051998,9,0.024450000999999996,0.3708946249517435,0.5849030680582366,10.999999999804318,0.05668163738964951,0.015086197418322017,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Burlington,A2,True,21
