layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source
sDB_P_18_1,sDB_P_18,loamy sand,0.4203945709387879,1.9792804394725652,0.0604989372724588,0.4153280893241781,83.2,13.3,3.5,,15.0,0.0177459207625783,14,0.06942501298481,0.4209899944739199,0.2490035448137216,1.4585092110787448,0.9799999999995638,0.0165284714700713,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_18_2,sDB_P_18,sand,0.4421473753988894,1.3289765920249514,1.985515701308836e-16,0.4233567553656411,87.0,10.0,3.0,,60.0,0.0209302866407142,9,1.0003655751492465e-15,0.4282027528119078,0.2945072903764315,1.01,0.3703633626578372,0.0197275674527826,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_18_3,sDB_P_18,sand,0.5612258326232248,2.3836855477482644,0.0080000009999999,0.3761896702216311,97.8,1.2,1.0,102.65,60.0,0.0127423849576231,18,0.0080000009999999,0.3690029237779575,0.9610304349362404,7.881777800375944,0.1141634255064903,0.0080063318024373,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_19_0,sDB_P_19,sand,0.3016277108240984,2.1535195989670655,0.0630000009999999,0.5139455458910211,89.2,7.3,3.5,,15.0,0.0171782835023984,18,0.0630000009999999,0.5065173053642564,0.4447833874963448,10.9999999999922,0.0826517276029819,0.0166043857341133,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_19_1,sDB_P_19,sand,0.2599712131466323,2.155222695384836,0.0658000009999997,0.4928759921616174,88.2,9.8,2.0,69.07916666666667,15.0,0.0129741631803677,18,0.0656241495915873,0.4894623483491364,0.346624811736478,3.2188810815237803,0.2978577687458684,0.0125072342332273,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_19_2,sDB_P_19,sand,0.300133215019315,1.9773041499186057,0.0672000009999999,0.4934980575759515,91.3913913913914,6.606606606606607,2.002002002002002,62.479166666666664,15.0,0.0123589473827565,18,0.0672000009999999,0.4908336067809596,0.3622406361545363,2.486460920540563,0.3532346773961257,0.0121543134476628,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_19_3,sDB_P_19,sand,0.3501679387360966,2.711370846268135,0.012000000999999,0.3672826435366689,97.0,0.0,3.0,34.61666666666667,60.0,0.0174701326654924,18,0.0120000009999997,0.3678331453004743,0.3356947700508426,2.5716996604105837,0.6871453620245415,0.01746496232764,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_19_4,sDB_P_19,sand,0.3211377151166992,2.511577296336566,0.0100000009999984,0.3475311491997602,97.8,0.1999999999999999,2.0,36.7,60.0,0.0143232538630408,18,0.0100000009999999,0.3507310994234618,0.2348460685351567,1.9306651152624117,0.979999999994322,0.0139801989458246,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_19_5,sDB_P_19,sand,0.3519938777840646,2.1467992648763516,0.0130000009999992,0.3812360023095366,96.90000000000002,1.1000000000000003,2.0000000000000004,35.19583333333333,60.0,0.0174482908725562,18,0.0130000009999999,0.3816063729701852,0.3438678860624858,2.0929029090071616,0.555870282959065,0.0174463380549959,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_19_6,sDB_P_19,sand,0.4618111732747015,2.1403305410881233,0.0120000009999823,0.3658942009848934,96.9,1.6,1.5,22.05,60.0,0.0150659383479597,18,0.012000000999939,0.3678027475438208,0.4137137957335729,1.9159695439525015,0.6369388841402005,0.0150116863338887,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_19_7,sDB_P_19,sand,0.2182231270638991,3.2948315519479103,0.0146000009999999,0.3246356229730501,97.3973973973974,1.6016016016016017,1.001001001001001,20.8125,60.0,0.0089354171569868,18,0.0146000009999999,0.323702146151047,0.346955239672241,10.999999999968152,0.1359590242957498,0.0080799915577724,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
