layer_id,volcanic,andic,volcanic_evidence,p_andosols,wrb,km_any,volcano_any,km_holocene,volcano_holocene
KSSL_15921965,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,939.4,McCoy,981.3,Dotsero
KSSL_121257,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,204.4,Simcoe,226.7,Glacier Peak
KSSL_15951761,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,316.3,Raton-Clayton,471.8,Dotsero
KSSL_170697,unlikely,no,KSSL taxonomy not andic,2.0,Acrisols,43.2,Boring Lava,101.0,West Crater
KSSL_15924757,known,yes,KSSL Andisol; KSSL andic subgroup; SoilGrids Andosols,23.0,Cambisols,361.4,Simcoe,380.8,Glacier Peak
KSSL_162000,unlikely,no,KSSL taxonomy not andic,1.0,Kastanozems,18.7,Sinker Butte,52.2,Jordan Craters
KSSL_15951769,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,305.2,Raton-Clayton,472.5,Dotsero
KSSL_121487,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,793.2,Aldama Volcanic Field,1024.5,Carrizozo
KSSL_198483,unlikely,no,KSSL taxonomy not andic,0.0,Cambisols,88.6,Dotsero,88.6,Dotsero
KSSL_208360,unlikely,no,KSSL taxonomy not andic,0.0,Cryosols,69.2,Maclaren River Volcanic Field,92.5,Buzzard Creek
KSSL_15745487,unlikely,no,KSSL taxonomy not andic,1.0,Kastanozems,200.4,Mammoth Mountain,200.4,Mammoth Mountain
KSSL_170702,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,50.7,Boring Lava,103.3,West Crater
KSSL_146272,unknown,unknown,,,,,,,
KSSL_15946982,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,349.3,Leucite Hills,446.3,Dotsero
KSSL_176740,unlikely,unknown,,0.0,Chernozems,1167.5,Yellowstone,1243.4,Dotsero
KSSL_15741148,unlikely,no,KSSL taxonomy not andic,1.0,Kastanozems,656.2,Raton-Clayton,904.0,Dotsero
KSSL_15741184,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,669.0,Raton-Clayton,782.6,Dotsero
KSSL_15938347,unlikely,no,KSSL taxonomy not andic,0.0,Fluvisols,91.0,Black Rock Desert,91.0,Black Rock Desert
KSSL_123776,unlikely,no,KSSL taxonomy not andic,0.0,Albeluvisols,1419.1,McCoy,1460.4,Dotsero
KSSL_162004,unlikely,no,KSSL taxonomy not andic,1.0,Kastanozems,18.7,Sinker Butte,52.2,Jordan Craters
KSSL_15741137,unlikely,no,KSSL taxonomy not andic,0.0,Phaeozems,788.1,Raton-Clayton,990.1,Dotsero
KSSL_170683,unlikely,no,KSSL taxonomy not andic,2.0,Luvisols,49.9,Boring Lava,100.5,West Crater
KSSL_15741188,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,669.0,Raton-Clayton,782.6,Dotsero
KSSL_118992,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,107.4,Geronimo,298.2,Red Hill-Quemado
KSSL_15830005,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,649.1,Raton-Clayton,784.0,Dotsero
KSSL_96832,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,534.7,Raton-Clayton,699.6,Dotsero
