layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,rmse,sample_type,sample_type_source,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m
UNSODA_2125,UNSODA_P212,sand,0.4951146176283005,3.4823245963279827,0.0490000009999999,0.3476659952755661,92.0,3.0,5.0,48.7,114.5,0.0075978442347286,undisturbed,UNSODA lab comment: undisturbed samples,0.0490000009999999,0.3475777605069078,0.4973183214314004,3.507083306795834,0.7042073699605893,0.0075976558900665
UNSODA_2126,UNSODA_P212,sand,0.5830001879030224,3.0876102959876284,0.0350000009999992,0.3602174358241757,95.0,2.0000000000000004,3.0,45.8,142.0,0.008576927209497,undisturbed,UNSODA lab comment: undisturbed samples,0.0350000009999999,0.3611844228600751,0.5573774787006329,2.907913894757733,0.7509031509000915,0.008559720246561
UNSODA_2130,UNSODA_P213,sandy loam,2.289302208056553,1.1595385592612295,1.8039263379777296e-22,0.3998605211688213,71.0,20.999999999999996,8.0,1.0829166666666663,11.5,0.009378328319435,undisturbed,UNSODA lab comment: undisturbed samples,1.0310914811736568e-22,0.4006285849115605,1.9382355980453032,1.01,0.165639550947609,0.0088259041701539
UNSODA_2131,UNSODA_P213,sandy loam,1.5873771803386143,1.12514566867405,5.11588613524221e-22,0.2998084074344945,71.0,15.999999999999998,13.0,0.65,29.5,0.0038479819327826,undisturbed,UNSODA lab comment: undisturbed samples,1.9785980275861704e-19,0.3003408142842293,1.3932563891743075,1.01,0.1288932920697226,0.0035006048548465
UNSODA_2132,UNSODA_P213,sandy loam,0.4655342568032603,1.1499989042243792,1.6222452510022525e-17,0.3004217269199645,68.0,18.0,14.000000000000002,0.2299999999999999,46.0,0.0040839621373826,undisturbed,UNSODA lab comment: undisturbed samples,3.266301487570332e-08,0.3016112718807864,0.3859532256314221,1.01,0.1592830211224283,0.0038064307015644
UNSODA_2160,UNSODA_P216,loam,2.3154533898883924,1.0464727076810312,1.1819932942719428e-09,0.6855350617723972,24.7,49.5,25.8,,25.0,0.0032255102413504,undisturbed,UNSODA lab comment: undisturbed samples,1.0887936907288795e-09,0.685508274475721,2.2298884991305186,1.01,0.0463808422366031,0.0031307963463595
UNSODA_2161,UNSODA_P216,silt loam,2.4230044323696953,1.061841878055373,2.3871889599247737e-14,0.781077074722235,19.966666666666665,64.43333333333334,15.6,,35.0,0.0021078595199964,undisturbed,UNSODA lab comment: undisturbed samples,7.754772790764336e-15,0.7811115203240383,2.3159989175448192,1.010000000005007,0.0618246534135083,0.0019139682380501
UNSODA_2170,UNSODA_P217,silt loam,0.5224697985161252,1.77817027651196,0.3441936899389983,0.4806116470922801,25.60606060606061,52.39393939393939,22.0,,25.0,0.0007440433508891,undisturbed,UNSODA lab comment: undisturbed samples,0.3441936899389983,0.4806116470922801,0.5224697985161252,1.77817027651196,0.4376241616401386,
UNSODA_2171,UNSODA_P217,clay loam,0.4475921943591625,2.087620403491265,0.3989697598407944,0.4581441083981548,24.62121212121212,39.37878787878788,36.0,,60.0,0.0005270837335701,undisturbed,UNSODA lab comment: undisturbed samples,0.3989697598407944,0.4581441083981548,0.4475921943591625,2.087620403491265,0.5209857125712921,
UNSODA_2181,UNSODA_P218,clay,0.3656247142733205,2.6532352880090246,0.4852307637249299,0.6574740112186673,11.818181818181817,39.18181818181819,49.0,,60.0,0.0016518492494762,undisturbed,UNSODA lab comment: undisturbed samples,0.4852307637249299,0.6574740112186673,0.3656247142733205,2.6532352880090246,0.623101650833841,
